Team,Slot,Unit,Notes
Defense,Unit 1,Boss Arunka,"Arti:
Krau - Holy Sac with Prot Set and turbo high HP
Iseria - You can safely run her mid-range spd but make sure to have high eff and ideally Renewed Will
Straze - Ideally Benimaru's Tachi, Hell Cutter works, too

Order:
Rinak s2/s3 into Krau, Iseria S3, Straze S3 (kills Arunka); Krau S3 Ruele; Rinak is free real estate from here on out. 

Important:
Make sure Straze is slower than Iseria
Iseria spd: Straze spd * 1.051 (or to make it turbo safe 1.06)"
Defense,Unit 2,Ruele,"Arti:
Krau - Holy Sac with Prot Set and turbo high HP
Iseria - You can safely run her mid-range spd but make sure to have high eff and ideally Renewed Will
Straze - Ideally Benimaru's Tachi, Hell Cutter works, too

Order:
Rinak s2/s3 into Krau, Iseria S3, Straze S3 (kills Arunka); Krau S3 Ruele; Rinak is free real estate from here on out. 

Important:
Make sure Straze is slower than Iseria
Iseria spd: Straze spd * 1.051 (or to make it turbo safe 1.06)"
Defense,Unit 3,Rinak,"Arti:
Krau - Holy Sac with Prot Set and turbo high HP
Iseria - You can safely run her mid-range spd but make sure to have high eff and ideally Renewed Will
Straze - Ideally Benimaru's Tachi, Hell Cutter works, too

Order:
Rinak s2/s3 into Krau, Iseria S3, Straze S3 (kills Arunka); Krau S3 Ruele; Rinak is free real estate from here on out. 

Important:
Make sure Straze is slower than Iseria
Iseria spd: Straze spd * 1.051 (or to make it turbo safe 1.06)"
Attack,Unit 1,Briar Witch Iseria,"Arti:
Krau - Holy Sac with Prot Set and turbo high HP
Iseria - You can safely run her mid-range spd but make sure to have high eff and ideally Renewed Will
Straze - Ideally Benimaru's Tachi, Hell Cutter works, too

Order:
Rinak s2/s3 into Krau, Iseria S3, Straze S3 (kills Arunka); Krau S3 Ruele; Rinak is free real estate from here on out. 

Important:
Make sure Straze is slower than Iseria
Iseria spd: Straze spd * 1.051 (or to make it turbo safe 1.06)"
Attack,Unit 2,Straze,"Arti:
Krau - Holy Sac with Prot Set and turbo high HP
Iseria - You can safely run her mid-range spd but make sure to have high eff and ideally Renewed Will
Straze - Ideally Benimaru's Tachi, Hell Cutter works, too

Order:
Rinak s2/s3 into Krau, Iseria S3, Straze S3 (kills Arunka); Krau S3 Ruele; Rinak is free real estate from here on out. 

Important:
Make sure Straze is slower than Iseria
Iseria spd: Straze spd * 1.051 (or to make it turbo safe 1.06)"
Attack,Unit 3,Krau,"Arti:
Krau - Holy Sac with Prot Set and turbo high HP
Iseria - You can safely run her mid-range spd but make sure to have high eff and ideally Renewed Will
Straze - Ideally Benimaru's Tachi, Hell Cutter works, too

Order:
Rinak s2/s3 into Krau, Iseria S3, Straze S3 (kills Arunka); Krau S3 Ruele; Rinak is free real estate from here on out. 

Important:
Make sure Straze is slower than Iseria
Iseria spd: Straze spd * 1.051 (or to make it turbo safe 1.06)"
Defense,Unit 1,Harsetti,"Just be giga tanky.

S3 Young Senya, S3 Alencia (if  BBK moves after Sharun you have to S1 into Sharun); S3 Flan into Sharun or Harsetti if Sharun is dead. 

Kill Sharun first, procc 2nd immortal on bbk and kill setti."
Defense,Unit 2,Dragon King Sharun,"Just be giga tanky.

S3 Young Senya, S3 Alencia (if  BBK moves after Sharun you have to S1 into Sharun); S3 Flan into Sharun or Harsetti if Sharun is dead. 

Kill Sharun first, procc 2nd immortal on bbk and kill setti."
Defense,Unit 3,Blood Blade Karin,"Just be giga tanky.

S3 Young Senya, S3 Alencia (if  BBK moves after Sharun you have to S1 into Sharun); S3 Flan into Sharun or Harsetti if Sharun is dead. 

Kill Sharun first, procc 2nd immortal on bbk and kill setti."
Attack,Unit 1,Afternoon Soak Flan,"Just be giga tanky.

S3 Young Senya, S3 Alencia (if  BBK moves after Sharun you have to S1 into Sharun); S3 Flan into Sharun or Harsetti if Sharun is dead. 

Kill Sharun first, procc 2nd immortal on bbk and kill setti."
Attack,Unit 2,Young Senya,"Just be giga tanky.

S3 Young Senya, S3 Alencia (if  BBK moves after Sharun you have to S1 into Sharun); S3 Flan into Sharun or Harsetti if Sharun is dead. 

Kill Sharun first, procc 2nd immortal on bbk and kill setti."
Attack,Unit 3,Alencia,"Just be giga tanky.

S3 Young Senya, S3 Alencia (if  BBK moves after Sharun you have to S1 into Sharun); S3 Flan into Sharun or Harsetti if Sharun is dead. 

Kill Sharun first, procc 2nd immortal on bbk and kill setti."
Defense,Unit 1,Conqueror Lilias,"Kill order: Conq > Ilynav > Yufine. If it's Elbris Yufine, keep her sleeping with DDR. 

Alternative 1:
Fenne, Roana, Elvira

Kill Order: Ilynav > Yufine > Conq
Safe all your Souls for Elvira if she has to refresh her Immortality

Alternative 2:
New Moon Luna, Frida, ML Ludwig
Cleave it. Kill Yufine with S2/S1 from Lud to check for HS, then S3."
Defense,Unit 2,Empyrean Ilynav,"Kill order: Conq > Ilynav > Yufine. If it's Elbris Yufine, keep her sleeping with DDR. 

Alternative 1:
Fenne, Roana, Elvira

Kill Order: Ilynav > Yufine > Conq
Safe all your Souls for Elvira if she has to refresh her Immortality

Alternative 2:
New Moon Luna, Frida, ML Ludwig
Cleave it. Kill Yufine with S2/S1 from Lud to check for HS, then S3."
Defense,Unit 3,Abyssal Yufine,"Kill order: Conq > Ilynav > Yufine. If it's Elbris Yufine, keep her sleeping with DDR. 

Alternative 1:
Fenne, Roana, Elvira

Kill Order: Ilynav > Yufine > Conq
Safe all your Souls for Elvira if she has to refresh her Immortality

Alternative 2:
New Moon Luna, Frida, ML Ludwig
Cleave it. Kill Yufine with S2/S1 from Lud to check for HS, then S3."
Attack,Unit 1,Doris,"Kill order: Conq > Ilynav > Yufine. If it's Elbris Yufine, keep her sleeping with DDR. 

Alternative 1:
Fenne, Roana, Elvira

Kill Order: Ilynav > Yufine > Conq
Safe all your Souls for Elvira if she has to refresh her Immortality

Alternative 2:
New Moon Luna, Frida, ML Ludwig
Cleave it. Kill Yufine with S2/S1 from Lud to check for HS, then S3."
Attack,Unit 2,Death Dealer Ray,"Kill order: Conq > Ilynav > Yufine. If it's Elbris Yufine, keep her sleeping with DDR. 

Alternative 1:
Fenne, Roana, Elvira

Kill Order: Ilynav > Yufine > Conq
Safe all your Souls for Elvira if she has to refresh her Immortality

Alternative 2:
New Moon Luna, Frida, ML Ludwig
Cleave it. Kill Yufine with S2/S1 from Lud to check for HS, then S3."
Attack,Unit 3,Urban Shadow Choux,"Kill order: Conq > Ilynav > Yufine. If it's Elbris Yufine, keep her sleeping with DDR. 

Alternative 1:
Fenne, Roana, Elvira

Kill Order: Ilynav > Yufine > Conq
Safe all your Souls for Elvira if she has to refresh her Immortality

Alternative 2:
New Moon Luna, Frida, ML Ludwig
Cleave it. Kill Yufine with S2/S1 from Lud to check for HS, then S3."
Defense,Unit 1,Harsetti,"Arti:
Handguy on Sweet Miracoli (lvl 30 absolutely mandatory)
Flan: Own Arti or Bloodstone
Roana: if u feeling Dank Stella Harpa, otherwise just Shimadra or whatever u like

Flan mandatory on Immunity set (such that she doesn't get randomly stunned from crown on Setti S3 - yes, Crown works on a miss if u didn't know)

Make Handguy highest HP (30k+ with 2k def), Roana 20k+ HP with 1500+ def

Order up to RNG-Jesus but these are the moves you make regardless of order:
first cycle: Handguy S3, Roana S3 (if she goes first and everybody has unbuffable you're sorta fucked and you S1 onto Mort); Flan S3 onto Mort.
2nd cycle: Roana S3 (or S1 Mort depending on 1st cycle), s1 Flan
3rd cycle: Full on s1 into Mort or Setti if Mort is gone by now. Focus Yenya last"
Defense,Unit 2,Mort,"Arti:
Handguy on Sweet Miracoli (lvl 30 absolutely mandatory)
Flan: Own Arti or Bloodstone
Roana: if u feeling Dank Stella Harpa, otherwise just Shimadra or whatever u like

Flan mandatory on Immunity set (such that she doesn't get randomly stunned from crown on Setti S3 - yes, Crown works on a miss if u didn't know)

Make Handguy highest HP (30k+ with 2k def), Roana 20k+ HP with 1500+ def

Order up to RNG-Jesus but these are the moves you make regardless of order:
first cycle: Handguy S3, Roana S3 (if she goes first and everybody has unbuffable you're sorta fucked and you S1 onto Mort); Flan S3 onto Mort.
2nd cycle: Roana S3 (or S1 Mort depending on 1st cycle), s1 Flan
3rd cycle: Full on s1 into Mort or Setti if Mort is gone by now. Focus Yenya last"
Defense,Unit 3,Young Senya,"Arti:
Handguy on Sweet Miracoli (lvl 30 absolutely mandatory)
Flan: Own Arti or Bloodstone
Roana: if u feeling Dank Stella Harpa, otherwise just Shimadra or whatever u like

Flan mandatory on Immunity set (such that she doesn't get randomly stunned from crown on Setti S3 - yes, Crown works on a miss if u didn't know)

Make Handguy highest HP (30k+ with 2k def), Roana 20k+ HP with 1500+ def

Order up to RNG-Jesus but these are the moves you make regardless of order:
first cycle: Handguy S3, Roana S3 (if she goes first and everybody has unbuffable you're sorta fucked and you S1 onto Mort); Flan S3 onto Mort.
2nd cycle: Roana S3 (or S1 Mort depending on 1st cycle), s1 Flan
3rd cycle: Full on s1 into Mort or Setti if Mort is gone by now. Focus Yenya last"
Attack,Unit 1,Mediator Kawerik,"Arti:
Handguy on Sweet Miracoli (lvl 30 absolutely mandatory)
Flan: Own Arti or Bloodstone
Roana: if u feeling Dank Stella Harpa, otherwise just Shimadra or whatever u like

Flan mandatory on Immunity set (such that she doesn't get randomly stunned from crown on Setti S3 - yes, Crown works on a miss if u didn't know)

Make Handguy highest HP (30k+ with 2k def), Roana 20k+ HP with 1500+ def

Order up to RNG-Jesus but these are the moves you make regardless of order:
first cycle: Handguy S3, Roana S3 (if she goes first and everybody has unbuffable you're sorta fucked and you S1 onto Mort); Flan S3 onto Mort.
2nd cycle: Roana S3 (or S1 Mort depending on 1st cycle), s1 Flan
3rd cycle: Full on s1 into Mort or Setti if Mort is gone by now. Focus Yenya last"
Attack,Unit 2,Afternoon Soak Flan,"Arti:
Handguy on Sweet Miracoli (lvl 30 absolutely mandatory)
Flan: Own Arti or Bloodstone
Roana: if u feeling Dank Stella Harpa, otherwise just Shimadra or whatever u like

Flan mandatory on Immunity set (such that she doesn't get randomly stunned from crown on Setti S3 - yes, Crown works on a miss if u didn't know)

Make Handguy highest HP (30k+ with 2k def), Roana 20k+ HP with 1500+ def

Order up to RNG-Jesus but these are the moves you make regardless of order:
first cycle: Handguy S3, Roana S3 (if she goes first and everybody has unbuffable you're sorta fucked and you S1 onto Mort); Flan S3 onto Mort.
2nd cycle: Roana S3 (or S1 Mort depending on 1st cycle), s1 Flan
3rd cycle: Full on s1 into Mort or Setti if Mort is gone by now. Focus Yenya last"
Attack,Unit 3,Roana,"Arti:
Handguy on Sweet Miracoli (lvl 30 absolutely mandatory)
Flan: Own Arti or Bloodstone
Roana: if u feeling Dank Stella Harpa, otherwise just Shimadra or whatever u like

Flan mandatory on Immunity set (such that she doesn't get randomly stunned from crown on Setti S3 - yes, Crown works on a miss if u didn't know)

Make Handguy highest HP (30k+ with 2k def), Roana 20k+ HP with 1500+ def

Order up to RNG-Jesus but these are the moves you make regardless of order:
first cycle: Handguy S3, Roana S3 (if she goes first and everybody has unbuffable you're sorta fucked and you S1 onto Mort); Flan S3 onto Mort.
2nd cycle: Roana S3 (or S1 Mort depending on 1st cycle), s1 Flan
3rd cycle: Full on s1 into Mort or Setti if Mort is gone by now. Focus Yenya last"
Defense,Unit 1,Mort,"Jenua also works instead of Flan. Flan is safer though.

Arti:
Elena - Doctor's Bag
Ilynav - Rise of a Monarch
Flan - Own Arti or Bloodstone

Elena ideally 260+ spd to avoid getting surprised by 260 Bride & 250 spd Mort

Strat:
Elena S3 (if she is faster than Iseria, S1 into Mort no matter if he's in backline or not). S3 Ilynav into Mort, S3 Flan into Mort. He can't revive, let's use that to our advantage. Focus Senya after that. Leave Briar for last so nobody revives."
Defense,Unit 2,Dragon Bride Senya,"Jenua also works instead of Flan. Flan is safer though.

Arti:
Elena - Doctor's Bag
Ilynav - Rise of a Monarch
Flan - Own Arti or Bloodstone

Elena ideally 260+ spd to avoid getting surprised by 260 Bride & 250 spd Mort

Strat:
Elena S3 (if she is faster than Iseria, S1 into Mort no matter if he's in backline or not). S3 Ilynav into Mort, S3 Flan into Mort. He can't revive, let's use that to our advantage. Focus Senya after that. Leave Briar for last so nobody revives."
Defense,Unit 3,Briar Witch Iseria,"Jenua also works instead of Flan. Flan is safer though.

Arti:
Elena - Doctor's Bag
Ilynav - Rise of a Monarch
Flan - Own Arti or Bloodstone

Elena ideally 260+ spd to avoid getting surprised by 260 Bride & 250 spd Mort

Strat:
Elena S3 (if she is faster than Iseria, S1 into Mort no matter if he's in backline or not). S3 Ilynav into Mort, S3 Flan into Mort. He can't revive, let's use that to our advantage. Focus Senya after that. Leave Briar for last so nobody revives."
Attack,Unit 1,Elena,"Jenua also works instead of Flan. Flan is safer though.

Arti:
Elena - Doctor's Bag
Ilynav - Rise of a Monarch
Flan - Own Arti or Bloodstone

Elena ideally 260+ spd to avoid getting surprised by 260 Bride & 250 spd Mort

Strat:
Elena S3 (if she is faster than Iseria, S1 into Mort no matter if he's in backline or not). S3 Ilynav into Mort, S3 Flan into Mort. He can't revive, let's use that to our advantage. Focus Senya after that. Leave Briar for last so nobody revives."
Attack,Unit 2,Empyrean Ilynav,"Jenua also works instead of Flan. Flan is safer though.

Arti:
Elena - Doctor's Bag
Ilynav - Rise of a Monarch
Flan - Own Arti or Bloodstone

Elena ideally 260+ spd to avoid getting surprised by 260 Bride & 250 spd Mort

Strat:
Elena S3 (if she is faster than Iseria, S1 into Mort no matter if he's in backline or not). S3 Ilynav into Mort, S3 Flan into Mort. He can't revive, let's use that to our advantage. Focus Senya after that. Leave Briar for last so nobody revives."
Attack,Unit 3,Afternoon Soak Flan,"Jenua also works instead of Flan. Flan is safer though.

Arti:
Elena - Doctor's Bag
Ilynav - Rise of a Monarch
Flan - Own Arti or Bloodstone

Elena ideally 260+ spd to avoid getting surprised by 260 Bride & 250 spd Mort

Strat:
Elena S3 (if she is faster than Iseria, S1 into Mort no matter if he's in backline or not). S3 Ilynav into Mort, S3 Flan into Mort. He can't revive, let's use that to our advantage. Focus Senya after that. Leave Briar for last so nobody revives."
Defense,Unit 1,Boss Arunka,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact ideally Tachi for atk buff but Hell Cutter works, too

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes
Mort could survive but he's so slow, he'll get lapped by Luna and/or Briar so you're gucci. Can't revive anyway."
Defense,Unit 2,Mort,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact ideally Tachi for atk buff but Hell Cutter works, too

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes
Mort could survive but he's so slow, he'll get lapped by Luna and/or Briar so you're gucci. Can't revive anyway."
Defense,Unit 3,Urban Shadow Choux,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact ideally Tachi for atk buff but Hell Cutter works, too

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes
Mort could survive but he's so slow, he'll get lapped by Luna and/or Briar so you're gucci. Can't revive anyway."
Attack,Unit 1,New Moon Luna,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact ideally Tachi for atk buff but Hell Cutter works, too

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes
Mort could survive but he's so slow, he'll get lapped by Luna and/or Briar so you're gucci. Can't revive anyway."
Attack,Unit 2,Briar Witch Iseria,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact ideally Tachi for atk buff but Hell Cutter works, too

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes
Mort could survive but he's so slow, he'll get lapped by Luna and/or Briar so you're gucci. Can't revive anyway."
Attack,Unit 3,Straze,"Luna fastest unit
Briar faster than Straze, formula: Briar Spd >1.05x Straze Spd; ideally on high eff to secure defbreak on all units
Straze Artifact ideally Tachi for atk buff but Hell Cutter works, too

Rotation: SB S3 Luna, S3 Iseria, S3 Straze = Entire team wipes
Mort could survive but he's so slow, he'll get lapped by Luna and/or Briar so you're gucci. Can't revive anyway."
Defense,Unit 1,Boss Arunka,"Arti:
Hellion Lua - Unseen Observer
New Moon Luna - Book
Straze - Tachi or Hell Cutter

If ML Celine is fastest unit, you win by default. If not, it's whatever. She dies like a dog.

Important Spd tuning:
Lua > Luna > Straze

Strat:
Lua SB S3; Celine might go 2nd and atk into Lua. You kill her through counters guaranteed. If Luna goes beforehand, you might even keep 1 counter left for Arunka. SB S3 Luna (that's why we have Unseen Observer); S3 Straze to kill Ilynav. Arunka will be low HP, S3 into Lua. she does no dmg because unbuffable. Auto from here.

Alternative:
No Lua? Use Nahkwol instead, same Arti as above. SB S3, S2 into Arunka. Rest as stated above. "
Defense,Unit 2,Empyrean Ilynav,"Arti:
Hellion Lua - Unseen Observer
New Moon Luna - Book
Straze - Tachi or Hell Cutter

If ML Celine is fastest unit, you win by default. If not, it's whatever. She dies like a dog.

Important Spd tuning:
Lua > Luna > Straze

Strat:
Lua SB S3; Celine might go 2nd and atk into Lua. You kill her through counters guaranteed. If Luna goes beforehand, you might even keep 1 counter left for Arunka. SB S3 Luna (that's why we have Unseen Observer); S3 Straze to kill Ilynav. Arunka will be low HP, S3 into Lua. she does no dmg because unbuffable. Auto from here.

Alternative:
No Lua? Use Nahkwol instead, same Arti as above. SB S3, S2 into Arunka. Rest as stated above. "
Defense,Unit 3,Spirit Eye Celine,"Arti:
Hellion Lua - Unseen Observer
New Moon Luna - Book
Straze - Tachi or Hell Cutter

If ML Celine is fastest unit, you win by default. If not, it's whatever. She dies like a dog.

Important Spd tuning:
Lua > Luna > Straze

Strat:
Lua SB S3; Celine might go 2nd and atk into Lua. You kill her through counters guaranteed. If Luna goes beforehand, you might even keep 1 counter left for Arunka. SB S3 Luna (that's why we have Unseen Observer); S3 Straze to kill Ilynav. Arunka will be low HP, S3 into Lua. she does no dmg because unbuffable. Auto from here.

Alternative:
No Lua? Use Nahkwol instead, same Arti as above. SB S3, S2 into Arunka. Rest as stated above. "
Attack,Unit 1,Hellion Lua,"Arti:
Hellion Lua - Unseen Observer
New Moon Luna - Book
Straze - Tachi or Hell Cutter

If ML Celine is fastest unit, you win by default. If not, it's whatever. She dies like a dog.

Important Spd tuning:
Lua > Luna > Straze

Strat:
Lua SB S3; Celine might go 2nd and atk into Lua. You kill her through counters guaranteed. If Luna goes beforehand, you might even keep 1 counter left for Arunka. SB S3 Luna (that's why we have Unseen Observer); S3 Straze to kill Ilynav. Arunka will be low HP, S3 into Lua. she does no dmg because unbuffable. Auto from here.

Alternative:
No Lua? Use Nahkwol instead, same Arti as above. SB S3, S2 into Arunka. Rest as stated above. "
Attack,Unit 2,New Moon Luna,"Arti:
Hellion Lua - Unseen Observer
New Moon Luna - Book
Straze - Tachi or Hell Cutter

If ML Celine is fastest unit, you win by default. If not, it's whatever. She dies like a dog.

Important Spd tuning:
Lua > Luna > Straze

Strat:
Lua SB S3; Celine might go 2nd and atk into Lua. You kill her through counters guaranteed. If Luna goes beforehand, you might even keep 1 counter left for Arunka. SB S3 Luna (that's why we have Unseen Observer); S3 Straze to kill Ilynav. Arunka will be low HP, S3 into Lua. she does no dmg because unbuffable. Auto from here.

Alternative:
No Lua? Use Nahkwol instead, same Arti as above. SB S3, S2 into Arunka. Rest as stated above. "
Attack,Unit 3,Straze,"Arti:
Hellion Lua - Unseen Observer
New Moon Luna - Book
Straze - Tachi or Hell Cutter

If ML Celine is fastest unit, you win by default. If not, it's whatever. She dies like a dog.

Important Spd tuning:
Lua > Luna > Straze

Strat:
Lua SB S3; Celine might go 2nd and atk into Lua. You kill her through counters guaranteed. If Luna goes beforehand, you might even keep 1 counter left for Arunka. SB S3 Luna (that's why we have Unseen Observer); S3 Straze to kill Ilynav. Arunka will be low HP, S3 into Lua. she does no dmg because unbuffable. Auto from here.

Alternative:
No Lua? Use Nahkwol instead, same Arti as above. SB S3, S2 into Arunka. Rest as stated above. "
Defense,Unit 1,Ruele,"Arti:
Politis - Sapiosexual Fan
Jenua - Wind Rider
Singi - Sacred Tree Branch/War Horn/Idol's Cheer/Touch of Rekos/Prophetic Candlestick (all good)

Strat:
S3 Politis, S3 Singi, S1 Jenua into Hwa. After that finish Ruele, clap Shoe. 

Make sure your Singi survives one Choux S3. Make sure Spoli is 290+ Spd."
Defense,Unit 2,Urban Shadow Choux,"Arti:
Politis - Sapiosexual Fan
Jenua - Wind Rider
Singi - Sacred Tree Branch/War Horn/Idol's Cheer/Touch of Rekos/Prophetic Candlestick (all good)

Strat:
S3 Politis, S3 Singi, S1 Jenua into Hwa. After that finish Ruele, clap Shoe. 

Make sure your Singi survives one Choux S3. Make sure Spoli is 290+ Spd."
Defense,Unit 3,Bystander Hwayoung,"Arti:
Politis - Sapiosexual Fan
Jenua - Wind Rider
Singi - Sacred Tree Branch/War Horn/Idol's Cheer/Touch of Rekos/Prophetic Candlestick (all good)

Strat:
S3 Politis, S3 Singi, S1 Jenua into Hwa. After that finish Ruele, clap Shoe. 

Make sure your Singi survives one Choux S3. Make sure Spoli is 290+ Spd."
Attack,Unit 1,Sea Phantom Politis,"Arti:
Politis - Sapiosexual Fan
Jenua - Wind Rider
Singi - Sacred Tree Branch/War Horn/Idol's Cheer/Touch of Rekos/Prophetic Candlestick (all good)

Strat:
S3 Politis, S3 Singi, S1 Jenua into Hwa. After that finish Ruele, clap Shoe. 

Make sure your Singi survives one Choux S3. Make sure Spoli is 290+ Spd."
Attack,Unit 2,Jenua,"Arti:
Politis - Sapiosexual Fan
Jenua - Wind Rider
Singi - Sacred Tree Branch/War Horn/Idol's Cheer/Touch of Rekos/Prophetic Candlestick (all good)

Strat:
S3 Politis, S3 Singi, S1 Jenua into Hwa. After that finish Ruele, clap Shoe. 

Make sure your Singi survives one Choux S3. Make sure Spoli is 290+ Spd."
Attack,Unit 3,Sinful Angelica,"Arti:
Politis - Sapiosexual Fan
Jenua - Wind Rider
Singi - Sacred Tree Branch/War Horn/Idol's Cheer/Touch of Rekos/Prophetic Candlestick (all good)

Strat:
S3 Politis, S3 Singi, S1 Jenua into Hwa. After that finish Ruele, clap Shoe. 

Make sure your Singi survives one Choux S3. Make sure Spoli is 290+ Spd."
Defense,Unit 1,Boss Arunka,"Enemy Team is most likely omega slow and even if this was a 250 spd BBK, it does not matter.

Optimal order: Gala > Celine > FCC but doesn't matter much tbh.

S3 Gala into Arunka (she should die). Hwa triggers, nobody bats an eye (ideal target: Gala); if Arunka dead, just S3 with Celine. if Arunka still alive and Seline has a buff you SB S1 to finish her off, then S3. FCC just S3 for Skill Null. Props if FCC moves before BBK but doesnt matter much. BBK S3s, doesnt matter. Hwa S3s into Seline and gets countered. If u have one soul, SB S1 FCC into BBK.

Kill Order: Arunka > Hwa > BBK (Gala can solo BBK)"
Defense,Unit 2,Bystander Hwayoung,"Enemy Team is most likely omega slow and even if this was a 250 spd BBK, it does not matter.

Optimal order: Gala > Celine > FCC but doesn't matter much tbh.

S3 Gala into Arunka (she should die). Hwa triggers, nobody bats an eye (ideal target: Gala); if Arunka dead, just S3 with Celine. if Arunka still alive and Seline has a buff you SB S1 to finish her off, then S3. FCC just S3 for Skill Null. Props if FCC moves before BBK but doesnt matter much. BBK S3s, doesnt matter. Hwa S3s into Seline and gets countered. If u have one soul, SB S1 FCC into BBK.

Kill Order: Arunka > Hwa > BBK (Gala can solo BBK)"
Defense,Unit 3,Blood Blade Karin,"Enemy Team is most likely omega slow and even if this was a 250 spd BBK, it does not matter.

Optimal order: Gala > Celine > FCC but doesn't matter much tbh.

S3 Gala into Arunka (she should die). Hwa triggers, nobody bats an eye (ideal target: Gala); if Arunka dead, just S3 with Celine. if Arunka still alive and Seline has a buff you SB S1 to finish her off, then S3. FCC just S3 for Skill Null. Props if FCC moves before BBK but doesnt matter much. BBK S3s, doesnt matter. Hwa S3s into Seline and gets countered. If u have one soul, SB S1 FCC into BBK.

Kill Order: Arunka > Hwa > BBK (Gala can solo BBK)"
Attack,Unit 1,Midnight Gala Lilias,"Enemy Team is most likely omega slow and even if this was a 250 spd BBK, it does not matter.

Optimal order: Gala > Celine > FCC but doesn't matter much tbh.

S3 Gala into Arunka (she should die). Hwa triggers, nobody bats an eye (ideal target: Gala); if Arunka dead, just S3 with Celine. if Arunka still alive and Seline has a buff you SB S1 to finish her off, then S3. FCC just S3 for Skill Null. Props if FCC moves before BBK but doesnt matter much. BBK S3s, doesnt matter. Hwa S3s into Seline and gets countered. If u have one soul, SB S1 FCC into BBK.

Kill Order: Arunka > Hwa > BBK (Gala can solo BBK)"
Attack,Unit 2,Spirit Eye Celine,"Enemy Team is most likely omega slow and even if this was a 250 spd BBK, it does not matter.

Optimal order: Gala > Celine > FCC but doesn't matter much tbh.

S3 Gala into Arunka (she should die). Hwa triggers, nobody bats an eye (ideal target: Gala); if Arunka dead, just S3 with Celine. if Arunka still alive and Seline has a buff you SB S1 to finish her off, then S3. FCC just S3 for Skill Null. Props if FCC moves before BBK but doesnt matter much. BBK S3s, doesnt matter. Hwa S3s into Seline and gets countered. If u have one soul, SB S1 FCC into BBK.

Kill Order: Arunka > Hwa > BBK (Gala can solo BBK)"
Attack,Unit 3,Fallen Cecilia,"Enemy Team is most likely omega slow and even if this was a 250 spd BBK, it does not matter.

Optimal order: Gala > Celine > FCC but doesn't matter much tbh.

S3 Gala into Arunka (she should die). Hwa triggers, nobody bats an eye (ideal target: Gala); if Arunka dead, just S3 with Celine. if Arunka still alive and Seline has a buff you SB S1 to finish her off, then S3. FCC just S3 for Skill Null. Props if FCC moves before BBK but doesnt matter much. BBK S3s, doesnt matter. Hwa S3s into Seline and gets countered. If u have one soul, SB S1 FCC into BBK.

Kill Order: Arunka > Hwa > BBK (Gala can solo BBK)"
Defense,Unit 1,Dragon Bride Senya,"Arti:
Krau - Holy Sac
FCC - Aurius
Flan - Her own Arti

Krau and FCC ideally want 200 spd, FCC as fast as 250 spd. Krau needs 30k HP, you can forfeit all def because Rinak/Bride pen def anyway. FCC handles fixed dmg. 

Turn cycle:
Rinak S2/S3 into Krau, Sharun S3, Senya S3 into FCC, Rinak S1 into Krau (you most likely procc HS here if u haven't already)
Your turn to strike: FCC S3 (super nice if u got debuffs), Krau S3 into Sharun; Flan S3 into Senya. All in into Senya, kill rinak after. If u see a chance to wipe rinak (even if it means to procc Bride passive, do it. Bride can't kill because of FCC passive)

Alternative (only works whenever Senya is not on Holy Sac):
Zio, ML Roana, Taeyou

Have Roana on Book, Taeyou on Merciless Glutton, Zio on Eff Arti (Cursed Compass goat)

S3 either Sharun or Senya (fast Sharun never has ER so pick her); Roana S3; Taewho SB S3 > S1 into Sharun (takes away all momentum). After that kill Senya, then Rinak.

You will (!) 100% lose either Roana or Zio during this. Rinak S2 always targets current highest CR unit. That is usually going to be Zio. And since he's lowest HP after that, he'll tank S3. He won't die due to Deify but Senya finishes him off unless you cycle beforehand. "
